filename,order,title,year,division,livre,series,volume,tome,no
lacomediehumaine_lessecretsdelaprincessedecadignan.txt,52,Les Secrets de la princesse de Cadignan,1839,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,11,3,3
lacomediehumaine_lesemployesoulafemmesuperieure.txt,53,Les EmployÌ©s ou la Femme supÌ©rieure,1838,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,11,3,4
lacomediehumaine_estherheureuse.txt,54,Esther heureuse,1843,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,Splendeurs et misÌ¬res des courtisanes,11,3,5
lacomediehumaine_acombienlamourrevientauxvieillards.txt,55,A combien l'amour revient aux vieilliards,1843,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,Splendeurs et misÌ¬res des courtisanes,11,3,6
lacomediehumaine_oumenentlesmauvaischemins.txt,56,OÌ_ mÌ¬nent les mauvais chemins,1846,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,Splendeurs et misÌ¬res des courtisanes,12,4,1
lacomediehumaine_unprincedelaboheme.txt,57,Un prince de la bohÌ¬me,1845,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,12,4,2
lacomediehumaine_esquissedhommedaffairesdapresnature.txt,58,Esquisse d'homme d'affaires d'aprÌ¬s nature,1845,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,12,4,3
lacomediehumaine_gaudissartii.txt,59,Gaudissart II,1844,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,12,4,4
lacomediehumaine_lescomedienssanslesavoir.txt,60,Les ComÌ©diens sans le savoir,1845,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,12,4,5
lacomediehumaine_unepisodesouslaterreur.txt,61,Un Ì©pisode sous la Terreur,1831,I. Ìätudes de moeurs,IV. ScÌ¬nes de la vie politique,,12,4,6
lacomediehumaine_unetenebreuseaffaire.txt,62,Une tÌ©nÌ©breuse affaire,1841,I. Ìätudes de moeurs,IV. ScÌ¬nes de la vie politique,,12,4,7
lacomediehumaine_zmarcus.txt,63,Z. Marcas,1840,I. Ìätudes de moeurs,IV. ScÌ¬nes de la vie politique,,12,4,8
lacomediehumaine_lenversdelhistoirecontemporaine.txt,64,L'Envers de l'histoire contemporaine,1845,I. Ìätudes de moeurs,IV. ScÌ¬nes de la vie politique,,12,4,9
lacomediehumaine_leschouans.txt,65,Les Chouans,1827,I. Ìätudes de moeurs,V. ScÌ¬nes de la vie militaire,,13,,1
lacomediehumaine_unepassiondansledesert.txt,66,Une passion dans le dÌ©sert,1832,I. Ìätudes de moeurs,V. ScÌ¬nes de la vie militaire,,13,,2
lacomediehumaine_lemedecindecampagne.txt,67,Le MÌ©decin de campagne,1833,I. Ìätudes de moeurs,VI. ScÌ¬nes de la vie de campagne,,13,,3
lacomediehumaine_lecuredevillage.txt,68,Le CurÌ© de village,1845,I. Ìätudes de moeurs,VI. ScÌ¬nes de la vie de campagne,,13,,4
lacomediehumaine_lapeaudechagrin.txt,69,La Peau de chagrin,1831,II. Ìätudes philosohiques,,,14,1,1
lacomediehumaine_jesuschristenflandre.txt,70,JÌ©sus-Christ en Flandre,1831,II. Ìätudes philosohiques,,,14,1,2
lacomediehumaine_melmothreconcilie.txt,71,Melmoth rÌ©conciliÌ©,1835,II. Ìätudes philosohiques,,,14,1,3
lacomediehumaine_lechefdoeuvreinconnu.txt,72,Le Chef-d'oeuvre inconnu,1832,II. Ìätudes philosohiques,,,14,1,4
lacomediehumaine_larecherchedelabsolu.txt,73,La Recherche de l'Absolu,1834,II. Ìätudes philosohiques,,,14,1,5
lacomediehumaine_massimilladoni.txt,74,Massimilla Doni,1839,II. Ìätudes philosohiques,,,15,2,1
lacomediehumaine_gambara.txt,75,Gambara,1837,II. Ìätudes philosohiques,,,15,2,2
lacomediehumaine_lenfantmaudit.txt,76,L'Enfant maudit,1836,II. Ìätudes philosohiques,,,15,2,3
lacomediehumaine_lesmarana.txt,77,Les Marana,1832,II. Ìätudes philosohiques,,,15,2,4
lacomediehumaine_adieu.txt,78,Adieu,1830,II. Ìätudes philosohiques,,,15,2,5
lacomediehumaine_lerequistionnaire.txt,79,Le RÌ©quisitionnaire,1831,II. Ìätudes philosohiques,,,15,2,6
lacomediehumaine_elverdugo.txt,80,El Verdugo,1829,II. Ìätudes philosohiques,,,15,2,7
lacomediehumaine_undrameauborddelamer.txt,81,Un drame au bord de la mer,1834,II. Ìätudes philosohiques,,,15,2,8
lacomediehumaine_laubergerouge.txt,82,L'Auberge rouge,1831,II. Ìätudes philosohiques,,,15,2,9
lacomediehumaine_lelixirdelonguevie.txt,83,L'Ìälixir de longue vie,1830,II. Ìätudes philosohiques,,,15,2,10
lacomediehumaine_maitrecornelius.txt,84,MaÌ¨tre CornÌ©lius,1831,II. Ìätudes philosohiques,,,15,2,11
lacomediehumaine_lemartyrcalviniste.txt,85,le Martyr calviniste,1841,II. Ìätudes philosohiques,,Sur Catherine de MÌ©dicis,15,2,12
lacomediehumaine_laconfidencedesruggieri.txt,86,La Confidence des Ruggieri,1836,II. Ìätudes philosohiques,,Sur Catherine de MÌ©dicis,16,,1
lacomediehumaine_lesdeuxreves.txt,87,Les Deux RÌ»ves,1828,II. Ìätudes philosohiques,,Sur Catherine de MÌ©dicis,16,,2
lacomediehumaine_lesproscrits.txt,88,Les Proscrits,1831,II. Ìätudes philosohiques,,,16,,3
lacomediehumaine_louislambert.txt,89,Louis Lambert,1832,II. Ìätudes philosohiques,,,16,,4
lacomediehumaine_seraphita.txt,90,SÌ©raphÌ¨ta,1835,II. Ìätudes philosohiques,,,16,,5
lacomediehumaine_physiologiedumariage.txt,91,Physiologie du mariage,1829,III. Ìätudes analytiques,,,16,,6
lacomediehumaine_lacousinebette.txt,92,La Cousine Bette,1846,,,Les Parents pauvres,17,,1
lacomediehumaine_lecousinpons.txt,93,Le Cousin Pons,1847,,,Les Parents pauvres,17,,2
lacomediehumaine_petitesmiseresdelavieconjugale.txt,94,Petites MisÌ¬res de la vie conjugale,1846,III. Ìätudes analytiques,,,18,,1
lacomediehumaine_traitedelavieelegante.txt,95,TraitÌ© de la vie Ì©lÌ©gante,1830,III. Ìätudes analytiques,,Pathologie de la vie sociale,,,1
lacomediehumaine_theoriedelademarche.txt,96,ThÌ©orie de la dÌ©marche,1833,III. Ìätudes analytiques,,Pathologie de la vie sociale,,,2
lacomediehumaine_traitedesexcitantsmodernes.txt,97,TraitÌ© des excitants modernes,1839,III. Ìätudes analytiques,,Pathologie de la vie sociale,,,3
