NAME 1,NAME 2
Thor,Rocket
Thor,Pepper Potts
Thor,Thanos
Thor,Peter Quill / Star-Lord
Thor,Thaddeus Ross
Thor,Shuri
Thor,Cull Obsidian
Thor,Ebony Maw
Thor,Proxima Midnight
Thor,Corvus Glaive
Thor,M'Baku
Thor,Ayo
Thor,Ned
Thor,Gamora's Mother
Thor,Johann Schmidt / Red Skull
Thor,Nick Fury
Thor,Agent Maria Hill
Thor,The Collector
Thor,Friday
Thor,Cindy
Thor,Sally
Thor,Tiny
Thor,Stan Lee
Bruce Banner / Hulk,Steve Rogers / Captain America
Bruce Banner / Hulk,Natasha Romanoff / Black Widow
Bruce Banner / Hulk,James Rhodes / War Machine
Bruce Banner / Hulk,Dr. Stephen Strange
Bruce Banner / Hulk,Peter Parker / Spider-Man
Bruce Banner / Hulk,T'Challa / Black Panther
Bruce Banner / Hulk,Gamora
Bruce Banner / Hulk,Nebula
Bruce Banner / Hulk,Loki
Bruce Banner / Hulk,Vision
Bruce Banner / Hulk,Wanda Maximoff / Scarlet Witch
Bruce Banner / Hulk,Sam Wilson / Falcon
Bruce Banner / Hulk,Bucky Barnes / Winter Soldier
Bruce Banner / Hulk,Heimdall
Bruce Banner / Hulk,Okoye
Bruce Banner / Hulk,Eitri
Bruce Banner / Hulk,Wong
Bruce Banner / Hulk,Mantis
Bruce Banner / Hulk,Drax
Bruce Banner / Hulk,Groot
Bruce Banner / Hulk,Rocket
Bruce Banner / Hulk,Pepper Potts
Bruce Banner / Hulk,Thanos
Bruce Banner / Hulk,Peter Quill / Star-Lord
Bruce Banner / Hulk,Thaddeus Ross
Bruce Banner / Hulk,Shuri
Bruce Banner / Hulk,Cull Obsidian
Bruce Banner / Hulk,Ebony Maw
Bruce Banner / Hulk,Proxima Midnight
Bruce Banner / Hulk,Corvus Glaive
Bruce Banner / Hulk,M'Baku
Bruce Banner / Hulk,Ayo
Bruce Banner / Hulk,Ned
Bruce Banner / Hulk,Gamora's Mother
Bruce Banner / Hulk,Johann Schmidt / Red Skull
Bruce Banner / Hulk,Nick Fury
Bruce Banner / Hulk,Agent Maria Hill
Bruce Banner / Hulk,The Collector
Bruce Banner / Hulk,Friday
Bruce Banner / Hulk,Cindy
Bruce Banner / Hulk,Sally
Bruce Banner / Hulk,Tiny
Bruce Banner / Hulk,Stan Lee
Steve Rogers / Captain America,Natasha Romanoff / Black Widow
Steve Rogers / Captain America,James Rhodes / War Machine
Steve Rogers / Captain America,Dr. Stephen Strange
Steve Rogers / Captain America,Peter Parker / Spider-Man
Steve Rogers / Captain America,T'Challa / Black Panther
Steve Rogers / Captain America,Gamora
Steve Rogers / Captain America,Nebula
Steve Rogers / Captain America,Loki
Steve Rogers / Captain America,Vision
Steve Rogers / Captain America,Wanda Maximoff / Scarlet Witch
Steve Rogers / Captain America,Sam Wilson / Falcon
Steve Rogers / Captain America,Bucky Barnes / Winter Soldier
Steve Rogers / Captain America,Heimdall
Steve Rogers / Captain America,Okoye
Steve Rogers / Captain America,Eitri
Steve Rogers / Captain America,Wong
Steve Rogers / Captain America,Mantis
Steve Rogers / Captain America,Drax
Steve Rogers / Captain America,Groot
Steve Rogers / Captain America,Rocket
Steve Rogers / Captain America,Pepper Potts
Steve Rogers / Captain America,Thanos
Steve Rogers / Captain America,Peter Quill / Star-Lord
Steve Rogers / Captain America,Thaddeus Ross
Steve Rogers / Captain America,Shuri
Steve Rogers / Captain America,Cull Obsidian
Steve Rogers / Captain America,Ebony Maw
Steve Rogers / Captain America,Proxima Midnight
Steve Rogers / Captain America,Corvus Glaive
Steve Rogers / Captain America,M'Baku
Steve Rogers / Captain America,Ayo
Steve Rogers / Captain America,Ned
Steve Rogers / Captain America,Gamora's Mother
Steve Rogers / Captain America,Johann Schmidt / Red Skull
Steve Rogers / Captain America,Nick Fury
Steve Rogers / Captain America,Agent Maria Hill
Steve Rogers / Captain America,The Collector
Steve Rogers / Captain America,Friday
Steve Rogers / Captain America,Cindy
Steve Rogers / Captain America,Sally
Steve Rogers / Captain America,Tiny
Steve Rogers / Captain America,Stan Lee
Natasha Romanoff / Black Widow,James Rhodes / War Machine
Natasha Romanoff / Black Widow,Dr. Stephen Strange
Natasha Romanoff / Black Widow,Peter Parker / Spider-Man
Natasha Romanoff / Black Widow,T'Challa / Black Panther
Natasha Romanoff / Black Widow,Gamora
Natasha Romanoff / Black Widow,Nebula
Natasha Romanoff / Black Widow,Loki
Natasha Romanoff / Black Widow,Vision
Natasha Romanoff / Black Widow,Wanda Maximoff / Scarlet Witch
Natasha Romanoff / Black Widow,Sam Wilson / Falcon
Natasha Romanoff / Black Widow,Bucky Barnes / Winter Soldier
Natasha Romanoff / Black Widow,Heimdall
Natasha Romanoff / Black Widow,Okoye
Natasha Romanoff / Black Widow,Eitri
Natasha Romanoff / Black Widow,Wong
Natasha Romanoff / Black Widow,Mantis
Natasha Romanoff / Black Widow,Drax
Natasha Romanoff / Black Widow,Groot
Natasha Romanoff / Black Widow,Rocket
Natasha Romanoff / Black Widow,Pepper Potts
Natasha Romanoff / Black Widow,Thanos
Natasha Romanoff / Black Widow,Peter Quill / Star-Lord
Natasha Romanoff / Black Widow,Thaddeus Ross
Natasha Romanoff / Black Widow,Shuri
Natasha Romanoff / Black Widow,Cull Obsidian
Natasha Romanoff / Black Widow,Ebony Maw
Natasha Romanoff / Black Widow,Proxima Midnight
Natasha Romanoff / Black Widow,Corvus Glaive
Natasha Romanoff / Black Widow,M'Baku
Natasha Romanoff / Black Widow,Ayo
Natasha Romanoff / Black Widow,Ned
Natasha Romanoff / Black Widow,Gamora's Mother
Natasha Romanoff / Black Widow,Johann Schmidt / Red Skull
Natasha Romanoff / Black Widow,Nick Fury
Natasha Romanoff / Black Widow,Agent Maria Hill
Natasha Romanoff / Black Widow,The Collector
Natasha Romanoff / Black Widow,Friday
Natasha Romanoff / Black Widow,Cindy
Natasha Romanoff / Black Widow,Sally
Natasha Romanoff / Black Widow,Tiny
Natasha Romanoff / Black Widow,Stan Lee
James Rhodes / War Machine,Dr. Stephen Strange
James Rhodes / War Machine,Peter Parker / Spider-Man
James Rhodes / War Machine,T'Challa / Black Panther
James Rhodes / War Machine,Gamora
James Rhodes / War Machine,Nebula
James Rhodes / War Machine,Loki
James Rhodes / War Machine,Vision
James Rhodes / War Machine,Wanda Maximoff / Scarlet Witch
James Rhodes / War Machine,Sam Wilson / Falcon
James Rhodes / War Machine,Bucky Barnes / Winter Soldier
James Rhodes / War Machine,Heimdall
James Rhodes / War Machine,Okoye
James Rhodes / War Machine,Eitri
James Rhodes / War Machine,Wong
James Rhodes / War Machine,Mantis
James Rhodes / War Machine,Drax
James Rhodes / War Machine,Groot
James Rhodes / War Machine,Rocket
James Rhodes / War Machine,Pepper Potts
James Rhodes / War Machine,Thanos
James Rhodes / War Machine,Peter Quill / Star-Lord
James Rhodes / War Machine,Thaddeus Ross
James Rhodes / War Machine,Shuri
James Rhodes / War Machine,Cull Obsidian
James Rhodes / War Machine,Ebony Maw
James Rhodes / War Machine,Proxima Midnight
James Rhodes / War Machine,Corvus Glaive
James Rhodes / War Machine,M'Baku
James Rhodes / War Machine,Ayo
James Rhodes / War Machine,Ned
James Rhodes / War Machine,Gamora's Mother
James Rhodes / War Machine,Johann Schmidt / Red Skull
James Rhodes / War Machine,Nick Fury
James Rhodes / War Machine,Agent Maria Hill
James Rhodes / War Machine,The Collector
James Rhodes / War Machine,Friday
James Rhodes / War Machine,Cindy
James Rhodes / War Machine,Sally
James Rhodes / War Machine,Tiny
James Rhodes / War Machine,Stan Lee
Dr. Stephen Strange,Peter Parker / Spider-Man
Dr. Stephen Strange,T'Challa / Black Panther
Dr. Stephen Strange,Gamora
Dr. Stephen Strange,Nebula
Dr. Stephen Strange,Loki
Dr. Stephen Strange,Vision
Dr. Stephen Strange,Wanda Maximoff / Scarlet Witch
Dr. Stephen Strange,Sam Wilson / Falcon
Dr. Stephen Strange,Bucky Barnes / Winter Soldier
Dr. Stephen Strange,Heimdall
Dr. Stephen Strange,Okoye
Dr. Stephen Strange,Eitri
Dr. Stephen Strange,Wong
Dr. Stephen Strange,Mantis
Dr. Stephen Strange,Drax
